,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Heating Type,Floor,Age of the Building,Usage Status,Maintenance Fee,Rental Income,Suitable for Bank Loan,Number of Rooms,Number of Bathrooms,Number of Floors of the Building,Status of the Property,House Type,"Video Home Tour
                                                                ?",Furnishing Status,Unit Exchange,Title Deed Status,From Whom,Pet Friendly Paws Houses,Fiyat,İl,İlçe,Mahalle,Oda
8088,120,130m²,10-20 arası,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,6310000,İstanbul,Eyüpsultan,Alibeyköy, 2 + 1 
8089,120,130m²,10-20 arası,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,6840000,İstanbul,Eyüpsultan,Alibeyköy, 2 + 1 
8090,180,190m²,10-20 arası,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,9270000,İstanbul,Eyüpsultan,Alibeyköy, 3 + 1 
8091,100,110m²,10-20 arası,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5470000,İstanbul,Eyüpsultan,Alibeyköy, 2 + 1 
8092,180,190m²,10-20 arası,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,9120000,İstanbul,Eyüpsultan,Alibeyköy, 3 + 1 
8093,52,60m²,6,Soba (Doğalgaz),Bodrum Kat,40 ve üzeri,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2000000,İstanbul,Eyüpsultan,İslambey, 1 + 1 
8094,160,200m²,4,,4,6-10 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,5750000,İstanbul,Eyüpsultan,Esentepe, 5 + 2 
8095,180,210m²,4,Kombi (Doğalgaz),1,11-15 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,20500000,İstanbul,Eyüpsultan,Göktürk Merkez, 4 + 1 
8096,210,250m²,3,,3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,7500000,İstanbul,Eyüpsultan,Defterdar, 5 + 1 
8097,120,150m²,3,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5500000,İstanbul,Eyüpsultan,Defterdar, 3 + 1 
8098,180,200m²,3,Kombi (Doğalgaz),1,6-10 arası,Eşyasız,Kiracılı,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Eyüpsultan,Mithatpaşa, 3 + 1 
8099,70,80m²,5,Kombi (Doğalgaz),Bahçe katı,4,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,1590000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8100,160,190m²,10-20 arası,Klima,14,3,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,8750000,İstanbul,Eyüpsultan,Düğmeciler, 4 + 1 
8101,90,120m²,4,Kombi (Doğalgaz),4,6-10 arası,Sadece Beyaz Eşya,Kiracılı,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,7650000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8102,130,160m²,5,Klima,Çatı Katı,3,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,9000000,İstanbul,Eyüpsultan,Göktürk Merkez, 3 + 1 
8103,100,125m²,4,,2,3,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,4950000,İstanbul,Eyüpsultan,Mithatpaşa, 3 + 1 
8104,180,225m²,5,Kombi (Doğalgaz),,16-20 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4750000,İstanbul,Eyüpsultan,Esentepe, 4 + 1 
8105,70,90m²,4,,1,3,Eşyasız,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8106,50,70m²,5,Merkezi Sistem (Isı Payı Ölçer),1,4,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5300000,İstanbul,Eyüpsultan,Mithatpaşa, 1 + 1 
8107,85,105m²,5,,1,6-10 arası,Eşyasız,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3650000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8108,80,100m²,4,Klima,1,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5500000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8109,80,100m²,5,Klima,1,0,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,5800000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8110,100,140m²,9,Merkezi Sistem (Isı Payı Ölçer),8,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3400000,İstanbul,Eyüpsultan,Yeşilpınar, 3 + 1 
8111,90,100m²,5,,1,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8112,96,101m²,4,Klima,1,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,5750000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8113,90,100m²,5,,2,3,Eşyasız,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8114,80,105m²,3,,Giriş Katı,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2350000,İstanbul,Eyüpsultan,Mithatpaşa, 2 + 1 
8115,75,85m²,5,Kombi (Doğalgaz),4,4,Eşyasız,Mülk Sahibi,Evet,,764,6,,,,,,,,,,,,,,,,,,,,,2400000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8116,155,170m²,5,Kombi (Doğalgaz),5,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3450000,İstanbul,Eyüpsultan,Çırçır, 4 + 2 
8117,130,160m²,3,,2,2,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4200000,İstanbul,Eyüpsultan,Mimar Sinan, 2 + 2 
8118,80,95m²,10,Kombi (Doğalgaz),10,3,Sadece Mutfak,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Eyüpsultan,Sakarya, 2 + 1 
8119,180,190m²,3,Kombi (Doğalgaz),3,6-10 arası,Eşyasız,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2550000,İstanbul,Eyüpsultan,Sakarya, 3 + 2 
8120,90,110m²,5,Kombi (Doğalgaz),Zemin Kat,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8121,194,230m²,6,Klima,5,6-10 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3995000,İstanbul,Eyüpsultan,Esentepe, 4 + 2 
8122,200,240m²,3,Klima,3,6-10 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,19500000,İstanbul,Eyüpsultan,Göktürk Merkez, 4 + 1 
8123,75,80m²,3,Kombi (Doğalgaz),Bahçe katı,0,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1150000,İstanbul,Eyüpsultan,Defterdar, 2 + 1 
8124,84,122m²,4,Kombi (Doğalgaz),2,0,Sadece Mutfak,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3000000,İstanbul,Eyüpsultan,Çırçır, 3 + 2 
8125,75,85m²,5,Kombi (Doğalgaz),1,1,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2050000,İstanbul,Eyüpsultan,İslambey, 2 + 1 
8126,180,210m²,4,Merkezi Sistem (Isı Payı Ölçer),4,6-10 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,9000000,İstanbul,Eyüpsultan,Göktürk Merkez, 4 + 1 
8127,145,160m²,4,Kombi (Doğalgaz),Bahçe katı,6-10 arası,Sadece Beyaz Eşya,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,7750000,İstanbul,Eyüpsultan,Göktürk Merkez, 3 + 1 
8128,200,230m²,4,Kombi (Doğalgaz),Bahçe katı,16-20 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,23000000,İstanbul,Eyüpsultan,Göktürk Merkez, 4 + 1 
8129,70,80m²,4,Kombi (Doğalgaz),Bodrum Kat,1,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1395000,İstanbul,Eyüpsultan,Rami Yeni, 2 + 1 
8130,360,380m²,4,Kombi (Doğalgaz),Çatı Katı,6-10 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,26000000,İstanbul,Eyüpsultan,Göktürk Merkez, 4 + 2 
8131,72,86m²,2,Klima,En Üst Kat,0,Eşyalı (Mobilyalı),Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Eyüpsultan,Mimar Sinan, 2 + 1 
8132,170,200m²,2,Kombi (Doğalgaz),Çatı Katı,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,5750000,İstanbul,Eyüpsultan,Mimar Sinan, 4 + 1 
8133,180,200m²,4,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,13500000,İstanbul,Eyüpsultan,Göktürk Merkez, 3 + 1 
8134,160,180m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3760,İstanbul,Eyüpsultan,Silahtarağa, 3 + 2 
8135,48,75m²,8,Merkezi Sistem (Isı Payı Ölçer),3,4,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2290000,İstanbul,Eyüpsultan,Alibeyköy, 2 + 1 
8136,135,150m²,3,Kombi (Doğalgaz),3,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8137,70,100m²,4,Merkezi Sistem (Isı Payı Ölçer),4,6-10 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4950000,İstanbul,Eyüpsultan,Göktürk Merkez, 1 + 1 
8138,135,145m²,3,Kombi (Doğalgaz),3,,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3750000,İstanbul,Eyüpsultan,İslambey, 3 + 2 
8139,80,90m²,4,,Yüksek Giriş,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1980000,İstanbul,Eyüpsultan,Merkez, 2 + 1 
8140,90,100m²,7,Kombi (Doğalgaz),2,6-10 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2750000,İstanbul,Eyüpsultan,Alibeyköy, 2 + 1 
8141,250,280m²,2,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,10750000,İstanbul,Eyüpsultan,Silahtarağa, 5 + 2 
8142,100,120m²,4,Kombi (Doğalgaz),,21-25 arası,Eşyasız,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1540000,İstanbul,Eyüpsultan,Merkez, 2 + 1 
8143,50,55m²,3,Kombi (Doğalgaz),Yüksek Giriş,31-35 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1250000,İstanbul,Eyüpsultan,Merkez, 1 + 1 
8144,90,100m²,5,Kombi (Doğalgaz),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2625000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8145,80,90m²,9,Yerden Isıtma,4,3,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,5500000,İstanbul,Eyüpsultan,Güzeltepe, 2 + 1 
8146,50,60m²,10,Kombi (Doğalgaz),7,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2450000,İstanbul,Eyüpsultan,Çırçır, 1 + 1 
8147,75,87m²,4,,3,6-10 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2200000,İstanbul,Eyüpsultan,Rami Yeni, 2 + 1 
8148,105,120m²,4,Kombi (Doğalgaz),Bahçe katı,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,7350000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8149,181,216m²,5,Kombi (Doğalgaz),1,11-15 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,13950000,İstanbul,Eyüpsultan,Göktürk Merkez, 5 + 1 
8150,90,125m²,5,Kombi (Doğalgaz),1,,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,6500000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8151,150,170m²,9,Kombi (Doğalgaz),3,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Eyüpsultan,Çırçır, 4 + 2 
8152,125,135m²,5,Kombi (Doğalgaz),4,26-30 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2350000,İstanbul,Eyüpsultan,Güzeltepe, 3 + 1 
8153,70,85m²,6,Kombi (Doğalgaz),1,11-15 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2200000,İstanbul,Eyüpsultan,Güzeltepe, 2 + 1 
8154,85,90m²,5,Kombi (Doğalgaz),2,11-15 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Eyüpsultan,Yeşilpınar, 2 + 1 
8155,145,160m²,9,Merkezi Sistem (Isı Payı Ölçer),9,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3850000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8156,75,85m²,9,Merkezi Sistem (Isı Payı Ölçer),1,3,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2100000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8157,80,95m²,9,Merkezi Sistem (Isı Payı Ölçer),5,6-10 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3450000,İstanbul,Eyüpsultan,Karadolap, 2 + 1 
8158,56,70m²,9,Merkezi Sistem (Isı Payı Ölçer),4,6-10 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2500000,İstanbul,Eyüpsultan,Karadolap, 2 + 1 
8159,90,110m²,5,Kombi (Doğalgaz),1,6-10 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2200000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8160,80,95m²,6,Kombi (Doğalgaz),4,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2600000,İstanbul,Eyüpsultan,Yeşilpınar, 2 + 1 
8161,160,175m²,5,Kombi (Doğalgaz),4,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3250000,İstanbul,Eyüpsultan,Silahtarağa, 3 + 2 
8162,290,355m²,4,Kombi (Doğalgaz),4,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,16750000,İstanbul,Eyüpsultan,Göktürk Merkez, 6 + 1 
8163,165,224m²,2,Kombi (Doğalgaz),Bahçe katı,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,14500000,İstanbul,Eyüpsultan,Göktürk Merkez, 3 + 1 
8164,120,140m²,3,Kombi (Doğalgaz),Çatı Katı,11-15 arası,Eşyalı (Mobilyalı),Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2950000,İstanbul,Eyüpsultan,Emniyettepe, 3 + 1 
8165,150,175m²,10,Kombi (Doğalgaz),10,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Eyüpsultan,Çırçır, 4 + 1 
8166,135,145m²,3,Kombi (Doğalgaz),,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1550000,İstanbul,Eyüpsultan,Emniyettepe, 3 + 2 
8167,65,75m²,4,Kombi (Doğalgaz),Kot 1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1250000,İstanbul,Eyüpsultan,Rami Yeni, 1 + 1 
8168,85,90m²,3,,Bahçe katı,6-10 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2300000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8169,80,90m²,5,Kombi (Doğalgaz),2,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1800000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8170,65,70m²,3,Kombi (Doğalgaz),Yüksek Giriş,0,Sadece Mutfak,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1850000,İstanbul,Eyüpsultan,Çırçır, 1 + 1 
8171,80,90m²,8,Merkezi Sistem (Isı Payı Ölçer),,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1950000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8172,80,90m²,8,Merkezi Sistem (Isı Payı Ölçer),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2100000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8173,125,160m²,5,Kombi (Doğalgaz),1,16-20 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,7750000,İstanbul,Eyüpsultan,Göktürk Merkez, 3 + 1 
8174,38,120m²,4,Merkezi Sistem (Isı Payı Ölçer),2,11-15 arası,Sadece Beyaz Eşya,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,7800000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8175,110,130m²,7,Kombi (Doğalgaz),Kot 1,6-10 arası,Sadece Beyaz Eşya,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2930000,İstanbul,Eyüpsultan,Güzeltepe, 3 + 1 
8176,160,175m²,3,Kombi (Doğalgaz),3,6-10 arası,Eşyalı (Mobilyalı),Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3150000,İstanbul,Eyüpsultan,Silahtarağa, 4 + 2 
8177,80,90m²,8,Kombi (Doğalgaz),7,3,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2840000,İstanbul,Eyüpsultan,Yeşilpınar, 2 + 1 
8178,100,110m²,4,Kombi (Doğalgaz),1,21-25 arası,Eşyasız,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1540000,İstanbul,Eyüpsultan,Merkez, 2 + 1 
8179,110,120m²,7,Kombi (Doğalgaz),4,16-20 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2350000,İstanbul,Eyüpsultan,Güzeltepe, 3 + 1 
8180,136,179m²,4,Merkezi Sistem (Isı Payı Ölçer),Çatı Katı,11-15 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,9000000,İstanbul,Eyüpsultan,Göktürk Merkez, 2 + 1 
8181,128,160m²,9,Merkezi Sistem (Isı Payı Ölçer),9,3,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3250000,İstanbul,Eyüpsultan,Alibeyköy, 2 + 2 
8182,100,110m²,6,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2950000,İstanbul,Eyüpsultan,Rami Yeni, 2 + 1 
8183,84,98m²,7,Kombi (Doğalgaz),Yüksek Giriş,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2200000,İstanbul,Eyüpsultan,Rami Yeni, 2 + 1 
8184,85,95m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2500000,İstanbul,Eyüpsultan,Yeşilpınar, 2 + 1 
8185,160,180m²,6,Kombi (Doğalgaz),Çatı Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3900000,İstanbul,Eyüpsultan,Karadolap, 4 + 2 
8186,75,85m²,6,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2400000,İstanbul,Eyüpsultan,Karadolap, 2 + 1 
8187,85,88m²,8,Kombi (Doğalgaz),5,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3150000,İstanbul,Eyüpsultan,Emniyettepe, 2 + 1 
8188,74,85m²,7,Kombi (Doğalgaz),Giriş Katı,3,Sadece Beyaz Eşya,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Eyüpsultan,Alibeyköy, 2 + 1 
8189,110,130m²,6,Kombi (Doğalgaz),3,21-25 arası,Eşyalı (Mobilyalı),Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2600000,İstanbul,Eyüpsultan,Güzeltepe, 2 + 1 
8190,120,130m²,7,Kombi (Doğalgaz),4,16-20 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2150000,İstanbul,Eyüpsultan,Güzeltepe, 3 + 1 
8191,55,70m²,5,Kombi (Doğalgaz),Kot 1,11-15 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1050000,İstanbul,Eyüpsultan,Güzeltepe, 1 + 1 
8192,90,110m²,3,,,6-10 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1730000,İstanbul,Eyüpsultan,Rami Yeni, 3 + 1 
8193,67,100m²,,,,,,,Evet,,,,,,,,,,,,,,,,,,,,,,,,6850000,İstanbul,Eyüpsultan,Güzeltepe, 2 + 1 
8194,85,95m²,6,Kombi (Doğalgaz),3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8195,80,90m²,4,Kombi (Doğalgaz),Bahçe katı,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1225000,İstanbul,Eyüpsultan,Merkez, 2 + 1 
8196,240,260m²,4,Kombi (Doğalgaz),Kot 4,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4350000,İstanbul,Eyüpsultan,Merkez, 4 + 2 
8197,40,80m²,4,Kombi (Doğalgaz),1,4,,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Eyüpsultan,Çırçır, 1 + 1 
8198,180,200m²,5,Kombi (Doğalgaz),5,11-15 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3100000,İstanbul,Eyüpsultan,Yeşilpınar, 4 + 1 
8199,120,130m²,5,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3975000,İstanbul,Eyüpsultan,Akşemsettin, 3 + 1 
8200,75,90m²,5,Kombi (Doğalgaz),Giriş Katı,21-25 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2100000,İstanbul,Eyüpsultan,Karadolap, 2 + 1 
8201,80,90m²,7,Merkezi Sistem (Isı Payı Ölçer),6,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2695000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8202,75,85m²,8,Kombi (Doğalgaz),2,6-10 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Eyüpsultan,Güzeltepe, 2 + 1 
8203,70,75m²,3,Kombi (Doğalgaz),Yüksek Giriş,,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1550000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8204,55,70m²,5,Kombi (Doğalgaz),Yüksek Giriş,6-10 arası,Eşyalı (Mobilyalı),Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1890000,İstanbul,Eyüpsultan,Akşemsettin, 1 + 1 
8205,67,94m²,7,Merkezi Sistem (Isı Payı Ölçer),4,2,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4700000,İstanbul,Eyüpsultan,Güzeltepe, 2 + 1 
8206,137,196m²,10-20 arası,Klima,2,4,Sadece Beyaz Eşya,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,14100000,İstanbul,Eyüpsultan,Güzeltepe, 3 + 1 
8207,119,120m²,4,Kombi (Doğalgaz),2,21-25 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2800000,İstanbul,Eyüpsultan,Güzeltepe, 3 + 1 
8208,75,85m²,10,Merkezi Sistem (Isı Payı Ölçer),1,3,Sadece Mutfak,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2100000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 1 
8209,125,140m²,4,Kombi (Doğalgaz),Bahçe katı,6-10 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,1375000,İstanbul,Eyüpsultan,Silahtarağa, 2 + 2 
8210,105,110m²,2,Kombi (Doğalgaz),Bahçe katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2950000,İstanbul,Eyüpsultan,Çırçır, 3 + 1 
8211,85,100m²,3,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2750000,İstanbul,Eyüpsultan,Akşemsettin, 2 + 1 
8212,74,78m²,3,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Eyüpsultan,Çırçır, 2 + 1 
8213,140,180m²,5,Kombi (Doğalgaz),En Üst Kat,6-10 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3950000,İstanbul,Eyüpsultan,Esentepe, 4 + 2 
8214,75,80m²,3,Kombi (Doğalgaz),Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1690000,İstanbul,Eyüpsultan,Akşemsettin, 2 + 1 
8215,100,105m²,3,Kombi (Doğalgaz),Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2500000,İstanbul,Eyüpsultan,Yeşilpınar, 3 + 1 
